Tournament,Court,Surface,Wrank,Wage,Wheight,Wtitles,Wh2h,winner_hand,winner_weight,winner_YTD_Won_Lost,winner_YTD_Titles,winner_CAREER_W_L,winner_Career_Prize_Money,Lrank,Lage,Lheight,Ltitles,Lh2h,loser_hand,loser_weight,loser_YTD_Won_Lost,loser_YTD_Titles,loser_CAREER_W_L,loser_Career_Prize_Money,Winner,Loser,random_player,winner_player
Adelaide,Outdoor,Hard,110,26,185.0,0,0,R,170,-1,0,-2,"455,849",296,25,196.0,0,0,R,187,0,0,-5,"679,999",Juan Pablo Varillas,Maxime Janvier,Maxime Janvier,2
Adelaide,Outdoor,Hard,296,25,196.0,0,0,R,187,0,0,-5,"679,999",110,26,185.0,0,0,R,170,-1,0,-2,"455,849",Juan Pablo Varillas,Maxime Janvier,Maxime Janvier,2
Adelaide,Outdoor,Hard,41,23,185.0,0,0,R,176,2,0,-3,"1,038,623",961,33,188.0,0,0,R,181,0,0,-5,"458,797",Francisco Cerundolo,Harri Heliovaara,Francisco Cerundolo,1
Adelaide,Outdoor,Hard,1027,17,175.0,0,0,R,162,0,0,0,"30,533",118,29,191.0,1,0,R,185,-2,0,-38,"2,741,149",Taro Daniel,Edward Winter,Edward Winter,2
Adelaide,Outdoor,Hard,912,33,188.0,0,0,L,185,0,0,-17,"1,548,924",113,32,175.0,1,1,R,152,0,0,-32,"4,346,183",Radu Albot,John-Patrick Smith,John-Patrick Smith,2
Adelaide,Outdoor,Hard,109,26,191.0,0,0,R,159,-2,0,-2,"1,076,491",444,34,188.0,0,0,R,176,-1,0,-49,"3,962,524",Daniel Elahi Galan,Matthew Ebden,Daniel Elahi Galan,1
Adelaide,Outdoor,Hard,144,29,196.0,0,0,R,190,-4,0,4,"1,898,609",0,17,,0,0,,kg,0,0,0,"1,320",Egor Gerasimov,Henry Lamchinniah,Egor Gerasimov,1
Adelaide,Outdoor,Hard,169,27,188.0,0,0,R,178,1,0,-8,"1,039,136",29,19,188.0,1,0,R,169,3,1,0,"1,147,871",Holger Rune,Ramkumar Ramanathan,Ramkumar Ramanathan,2
Adelaide,Outdoor,Hard,36,28,193.0,0,0,R,174,2,0,-1,"1,609,895",150,23,191.0,0,0,L,184,-2,0,-8,"589,690",Oscar Otte,Jurij Rodionov,Oscar Otte,1
Adelaide,Outdoor,Hard,109,26,191.0,0,0,R,159,-2,0,-2,"1,076,491",41,23,185.0,0,0,R,176,2,0,-3,"1,038,623",Francisco Cerundolo,Daniel Elahi Galan,Daniel Elahi Galan,2
Adelaide,Outdoor,Hard,144,29,196.0,0,0,R,190,-4,0,4,"1,898,609",113,32,175.0,1,1,R,152,0,0,-32,"4,346,183",Egor Gerasimov,Radu Albot,Egor Gerasimov,1
Adelaide,Outdoor,Hard,29,19,188.0,1,0,R,169,3,1,0,"1,147,871",110,26,185.0,0,0,R,170,-1,0,-2,"455,849",Holger Rune,Juan Pablo Varillas,Holger Rune,1
Adelaide,Outdoor,Hard,36,28,193.0,0,0,R,174,2,0,-1,"1,609,895",118,29,191.0,1,0,R,185,-2,0,-38,"2,741,149",Taro Daniel,Oscar Otte,Oscar Otte,2
Adelaide,Outdoor,Hard,47,26,183.0,0,0,R,180,2,0,-4,"1,404,275",88,23,183.0,0,1,R,165,0,0,-7,"1,806,358",Mikael Ymer,Benjamin Bonzi,Benjamin Bonzi,2
Adelaide,Outdoor,Hard,29,19,188.0,1,0,R,169,3,1,0,"1,147,871",127,23,175.0,0,1,L,156,0,0,-14,"2,192,336",Corentin Moutet,Holger Rune,Holger Rune,2
Adelaide,Outdoor,Hard,89,28,183.0,0,1,L,172,1,0,-23,"2,422,322",61,23,188.0,0,0,R,176,-10,0,-13,"978,209",Thiago Monteiro,Daniel Altmaier,Thiago Monteiro,1
Adelaide,Outdoor,Hard,136,27,188.0,0,1,R,170,-2,0,-10,"1,488,200",41,23,185.0,0,1,R,176,2,0,-3,"1,038,623",Gianluca Mager,Francisco Cerundolo,Gianluca Mager,1
Adelaide,Outdoor,Hard,79,26,193.0,1,1,R,185,6,1,-12,"2,369,945",85,33,183.0,1,0,R,174,-6,0,-26,"5,124,430",Thanasi Kokkinakis,John Millman,Thanasi Kokkinakis,1
Adelaide,Outdoor,Hard,131,26,188.0,0,1,R,187,0,0,-4,"606,522",93,32,188.0,4,1,R,190,0,0,-2,"7,440,322",Steve Johnson,Aleksandar Vukic,Aleksandar Vukic,2
Adelaide,Outdoor,Hard,118,29,191.0,1,1,R,185,-2,0,-38,"2,741,149",70,20,185.0,0,0,R,172,-1,0,0,"1,616,419",Taro Daniel,Lorenzo Musetti,Taro Daniel,1
Adelaide,Outdoor,Hard,122,20,183.0,1,1,L,157,-2,0,-2,"462,656",309,29,183.0,0,0,L,185,-3,0,-13,"1,392,059",Juan Manuel Cerundolo,Alex Bolt,Juan Manuel Cerundolo,1
Adelaide,Outdoor,Hard,101,26,170.0,1,0,L,141,-4,0,-22,"3,742,009",81,24,180.0,1,1,R,159,-3,0,2,"1,916,569",Soonwoo Kwon,Yoshihito Nishioka,Yoshihito Nishioka,2
Adelaide,Outdoor,Hard,87,29,183.0,1,1,R,170,-7,0,-22,"3,034,818",57,27,188.0,2,1,R,181,-2,0,-9,"3,612,639",Laslo Djere,Roberto Carballes Baena,Roberto Carballes Baena,2
Adelaide,Outdoor,Hard,68,28,198.0,2,0,L,207,-4,0,-25,"5,303,147",32,25,185.0,1,3,R,180,4,0,4,"2,846,828",Tommy Paul,Jiri Vesely,Jiri Vesely,2
Adelaide,Outdoor,Hard,144,29,196.0,0,2,R,190,-4,0,4,"1,898,609",59,30,188.0,1,0,R,181,-1,0,3,"5,204,690",Egor Gerasimov,Marton Fucsovics,Egor Gerasimov,1
Adelaide,Outdoor,Hard,144,29,196.0,0,1,R,190,-4,0,4,"1,898,609",136,27,188.0,0,1,R,170,-2,0,-10,"1,488,200",Egor Gerasimov,Gianluca Mager,Egor Gerasimov,1
Adelaide,Outdoor,Hard,88,23,183.0,0,1,R,165,0,0,-7,"1,806,358",81,24,180.0,1,0,R,159,-3,0,2,"1,916,569",Mikael Ymer,Soonwoo Kwon,Mikael Ymer,1
Adelaide,Outdoor,Hard,57,27,188.0,2,2,R,181,-2,0,-9,"3,612,639",127,23,175.0,0,0,L,156,0,0,-14,"2,192,336",Laslo Djere,Corentin Moutet,Laslo Djere,1
Adelaide,Outdoor,Hard,32,25,185.0,1,1,R,180,4,0,4,"2,846,828",118,29,191.0,1,1,R,185,-2,0,-38,"2,741,149",Tommy Paul,Taro Daniel,Tommy Paul,1
Adelaide,Outdoor,Hard,79,26,193.0,1,2,R,185,6,1,-12,"2,369,945",28,24,188.0,1,0,R,190,-1,0,-18,"5,737,564",Thanasi Kokkinakis,Frances Tiafoe,Thanasi Kokkinakis,1
Adelaide,Outdoor,Hard,89,28,183.0,0,0,L,172,1,0,-23,"2,422,322",17,33,198.0,20,1,R,196,8,0,251,"30,588,972",Marin Cilic,Thiago Monteiro,Thiago Monteiro,2
Adelaide,Outdoor,Hard,22,26,198.0,4,2,R,192,6,0,44,"11,161,554",93,32,188.0,4,0,R,190,0,0,-2,"7,440,322",Karen Khachanov,Steve Johnson,Karen Khachanov,1
